ubigeo_departamento,ubigeo_provincia,ubigeo_distrito,departamento,provincia,distrito,pct_actas,actas_contabilizadas,total_actas,votos_emitidos,votos_validos,votos_blancos,votos_nulos,partido_keiko,candidato_keiko,votos_keiko,pct_keiko,partido_roberto,candidato_roberto,votos_roberto,pct_roberto,ganador,margen
010000,010200,010202,AMAZONAS,BAGUA,ARAMANGO,100,34,34,5599,5247,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,1841,35.087,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,3406,64.913,Roberto Sanchez,29.8260
010000,010200,010205,AMAZONAS,BAGUA,BAGUA,100,72,72,15176,14063,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,5816,41.357,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,8247,58.643,Roberto Sanchez,17.2860
010000,010200,010203,AMAZONAS,BAGUA,COPALLIN,100,16,16,3198,2973,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,957,32.19,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,2016,67.81,Roberto Sanchez,35.6200
010000,010200,010204,AMAZONAS,BAGUA,EL PARCO,100,6,6,1163,1091,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,285,26.123,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,806,73.877,Roberto Sanchez,47.7540
010000,010200,010206,AMAZONAS,BAGUA,IMAZA,100,97,97,10804,10413,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,860,8.259,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,9553,91.741,Roberto Sanchez,83.4820
010000,010200,010201,AMAZONAS,BAGUA,LA PECA,100,25,25,4296,4020,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,1545,38.433,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,2475,61.567,Roberto Sanchez,23.1340
010000,010300,010304,AMAZONAS,BONGARÁ,CHISQUILLA,100,2,2,281,267,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,110,41.199,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,157,58.801,Roberto Sanchez,17.6020
010000,010300,010305,AMAZONAS,BONGARÁ,CHURUJA,100,2,2,233,223,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,130,58.296,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,93,41.704,Keiko Fujimori,16.5920
010000,010300,010302,AMAZONAS,BONGARÁ,COROSHA,100,3,3,476,429,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,118,27.506,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,311,72.494,Roberto Sanchez,44.9880
010000,010300,010303,AMAZONAS,BONGARÁ,CUISPES,100,3,3,582,547,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,179,32.724,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,368,67.276,Roberto Sanchez,34.5520
010000,010300,010306,AMAZONAS,BONGARÁ,FLORIDA,100,17,17,3452,3153,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,1332,42.245,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,1821,57.755,Roberto Sanchez,15.5100
010000,010300,010312,AMAZONAS,BONGARÁ,JAZAN,100,21,21,3712,3452,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,1741,50.435,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,1711,49.565,Keiko Fujimori,0.8700
010000,010300,010301,AMAZONAS,BONGARÁ,JUMBILLA,100,3,3,513,459,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,168,36.601,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,291,63.399,Roberto Sanchez,26.7980
010000,010300,010307,AMAZONAS,BONGARÁ,RECTA,100,2,2,231,223,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,64,28.7,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,159,71.3,Roberto Sanchez,42.6000
010000,010300,010308,AMAZONAS,BONGARÁ,SAN CARLOS,100,3,3,422,395,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,161,40.759,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,234,59.241,Roberto Sanchez,18.4820
010000,010300,010309,AMAZONAS,BONGARÁ,SHIPASBAMBA,100,6,6,1032,974,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,366,37.577,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,608,62.423,Roberto Sanchez,24.8460
010000,010300,010310,AMAZONAS,BONGARÁ,VALERA,100,4,4,760,694,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,406,58.501,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,288,41.499,Keiko Fujimori,17.0020
010000,010300,010311,AMAZONAS,BONGARÁ,YAMBRASBAMBA,100,18,18,3260,3038,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,1225,40.323,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,1813,59.677,Roberto Sanchez,19.3540
010000,010100,010102,AMAZONAS,CHACHAPOYAS,ASUNCIÓN,100,2,2,182,172,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,56,32.558,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,116,67.442,Roberto Sanchez,34.8840
010000,010100,010103,AMAZONAS,CHACHAPOYAS,BALSAS,100,5,5,732,683,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,279,40.849,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,404,59.151,Roberto Sanchez,18.3020
010000,010100,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,100,76,76,16361,14933,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,7395,49.521,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,7538,50.479,Roberto Sanchez,0.9580
010000,010100,010104,AMAZONAS,CHACHAPOYAS,CHETO,100,3,3,470,423,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,170,40.189,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,253,59.811,Roberto Sanchez,19.6220
010000,010100,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,100,4,4,506,465,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,270,58.065,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,195,41.935,Keiko Fujimori,16.1300
010000,010100,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,100,7,7,702,646,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,324,50.155,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,322,49.845,Keiko Fujimori,0.3100
010000,010100,010107,AMAZONAS,CHACHAPOYAS,GRANADA,100,2,2,373,356,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,111,31.18,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,245,68.82,Roberto Sanchez,37.6400
010000,010100,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,100,3,3,647,596,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,327,54.866,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,269,45.134,Keiko Fujimori,9.7320
010000,010100,010109,AMAZONAS,CHACHAPOYAS,LA JALCA,100,17,17,3060,2859,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,513,17.943,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,2346,82.057,Roberto Sanchez,64.1140
010000,010100,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,100,10,10,1801,1660,,,FUERZA POPULAR,KEIKO SOFIA FUJIMORI HIGUCHI,769,46.325,JUNTOS POR EL PERÚ,ROBERTO HELBERT SANCHEZ PALOMINO,891,53.675,Roberto Sanchez,7.3500
